Type,Indicator,Context,Source,
Domain,ikaraur[.]ru,Gamaredon / PrimitiveBear,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,ruhodo[.]ru,Gamaredon / PrimitiveBear,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,asdorta[.]ru,Gamaredon / PrimitiveBear,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,kolorato[.]ru,Gamaredon / PrimitiveBear,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,warau[.]ru,Gamaredon / PrimitiveBear,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,kimiga[.]ru,Gamaredon / PrimitiveBear,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,kippuno[.]ru,Gamaredon / PrimitiveBear,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,kroviti[.]ru,Gamaredon / PrimitiveBear,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,hibigaru[.]ru,Gamaredon / PrimitiveBear,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,lotorda[.]ru,Gamaredon / PrimitiveBear,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,oyoida[.]ru,Gamaredon / PrimitiveBear,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,dushnilo[.]ru,Gamaredon / PrimitiveBear,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,akowaika[.]ru,Gamaredon / PrimitiveBear,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,torogat[.]ru,Gamaredon / PrimitiveBear,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,inosokof[.]ru,Gamaredon / PrimitiveBear,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,holotran[.]ru,Gamaredon / PrimitiveBear,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,huskari[.]ru,Gamaredon / PrimitiveBear,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,utemomac[.]ru,Gamaredon / PrimitiveBear,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,hortoban[.]ru,Gamaredon / PrimitiveBear,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
